# Lines starting with "#" are isnored (comment lines)
# Colums are:
# 1st: id
# 2nd: distance(m)
# 3rd: length(m)
# 4th: type (0=normal, 1=station, 2=switch)
# 5th: maximum speed(km/h)
# 6th: gradient(%)
# 7th: curvature(m), 0 means straight line
1	0	200	1	30	0	0
2	200	150	0	80	0	0
3	350	200	0	40	0.5	0
4	550	100	0	45	0	0
5	650	200	0	30	-0.5	0
6	850	200	0	50	0.5	0
7	1050	200	1	30	0	0
8	1250	300	0	70	0	0
9	1550	100	0	70	0.5	0
10	1650	200	0	25	0	0
11	1850	200	0	60	0	0
12	2050	200	1	30	0	0
13	2250	50	0	40	0	0
14	2300	80	0	40	0.5	0
15	2380	70	0	40	0	0
16	2450	100	0	40	0	150
17	2550	70	0	40	0	0
18	2620	80	0	60	0	0
19	2700	150	0	80	0	0
20	2850	150	0	75	0	0
21	3000	100	0	35	0	0
22	3100	200	1	30	0	0
23	3300	400	0	70	0	0
24	3700	250	0	70	0.5	0
25	3950	150	0	70	-0.5	0
26	4100	100	0	70	0	0
27	4200	300	1	30	0	0
28	4500	250	0	70	0	0
29	4750	200	0	60	0	200
30	4950	300	0	50	0	0
31	5250	250	1	30	0	0
32	5500	50	0	70	0	0
33	5550	200	0	50	0	170
34	5750	300	0	65	0	0
35	6050	100	0	60	0.2	0
36	6150	100	0	60	-0.2	0
37	6250	300	0	70	0	0
38	6550	200	1	30	0	0
39	6750	500	0	65	0	0
40	7250	300	0	60	0.1	0
41	7550	100	0	65	0	0
42	7650	250	0	40	0	120
43	7900	100	0	70	0	0
44	8000	200	1	30	0	0
