# Lines starting with "#" are isnored (comment lines)
# Colums are:
# 1st: id
# 2nd: distance(m)
# 3rd: length(m)
# 4th: type (0=normal, 1=station, 2=switch)
# 5th: maximum speed(km/h)
# 6th: gradient(%)
# 7th: curvature(m), 0 means straight line
1	0	200	1	30	0	0
2	200	150	0	80	0	0
3	350	200	0	40	0.5	0
4	550	100	0	45	0	0
5	650	200	0	30	-0.5	0
6	850	200	0	50	0.5	0
7	1050	200	1	30	0	0
8	1250	300	0	70	0	0
9	1550	100	0	70	0.5	0
10	1650	200	0	25	0	0
11	1850	200	0	60	0	0
12	2050	200	1	30	0	0
13	2250	50	0	40	0	0
14	2300	80	0	40	0.5	0
15	2380	70	0	40	0	0
16	2450	100	0	40	0	150
17	2550	70	0	40	0	0
18	2620	80	0	60	0	0
19	2700	150	0	80	0	0
20	2850	150	0	75	0	0
21	3000	100	0	35	0	0
22	3100	200	1	30	0	0
